Article Title,Source Title,"Times Cited, All Databases",Publication Year
Molecular and Morphological Characterization of Eimeria crandallis Isolated from Deer (Cervidae) in Different Captive Animals,LIFE-BASEL,2,2022
Improving environmental monitoring of Vibrionaceae in coastal ecosystems through 16S rRNA gene amplicon sequencing,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,3,2022
Genome-Wide Identification and Analysis of the NF-Y Transcription Factor Family Reveal Its Potential Roles in Salt Stress in Alfalfa (Medicago sativa L.),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,7,2022
"Rapid Multilateral and Integrated Public Health Response to a Cross-City Outbreak of Salmonella Enteritidis Infections Combining Analytical, Molecular, and Genomic Epidemiological Analysis",FRONTIERS IN MICROBIOLOGY,1,2022
Genome-Wide Identification and Evolutionary Analysis of the SRO Gene Family in Tomato,FRONTIERS IN GENETICS,10,2021
How to build a puncture- and breakage-resistant eggshell? Mechanical and structural analyses of avian brood parasites and their hosts,JOURNAL OF EXPERIMENTAL BIOLOGY,5,2021
Analysis of Populus glycosyl hydrolase family I members and their potential role in the ABA treatment and drought stress response,PLANT PHYSIOLOGY AND BIOCHEMISTRY,10,2021
Transcriptome-wide identification and expression profiling of the ERF gene family suggest roles as transcriptional activators and repressors of fruit ripening in durian,PLOS ONE,9,2021
Genetic Diversity and Population Structure of Races ofFusarium oxysporumCausing Cotton Wilt,G3-GENES GENOMES GENETICS,20,2020
Image-processing based taxonomy analysis of bacterial macromorphology using machine-learning models,MULTIMEDIA TOOLS AND APPLICATIONS,10,2020
Molecular ecological network analysis of the response of soil microbial communities to depth gradients in farmland soils,MICROBIOLOGYOPEN,8,2020
Phylogenomic Analysis Reveals Deep Divergence and Recombination in an Economically Important Grapevine Virus,PLOS ONE,32,2015
"Saffron (Crocus sativus L.), a monomorphic or polymorphic species?",SPANISH JOURNAL OF AGRICULTURAL RESEARCH,15,2014
ngs (Notochord Granular Surface) Gene Encodes a Novel Type of Intermediate Filament Family Protein Essential for Notochord Maintenance in Zebrafish,JOURNAL OF BIOLOGICAL CHEMISTRY,8,2013
Extensive population expansion of Pedicularis longiflora (Orobanchaceae) on the Qinghai-Tibetan Plateau and its correlation with the Quaternary climate change,MOLECULAR ECOLOGY,194,2008
RAPID GENETIC-CHARACTERIZATION OF HIV TYPE-1 STRAINS FROM 4 WORLD-HEALTH-ORGANIZATION-SPONSORED VACCINE EVALUATION SITES USING A HETERODUPLEX MOBILITY ASSAY,AIDS RESEARCH AND HUMAN RETROVIRUSES,82,1994
The polymorphic analysis of cox1 and cob genes of Echinococcus granulosus in the Ngari region of Tibet in China,ACTA TROPICA,0,2023
Genome-wide identification of insulin-like growth factor-binding protein family in Chinese tongue sole (Cynoglossus semilaevis) and their responses to sex steroids,AQUACULTURE,2,2022
Identification of leucine-rich repeat receptor-like protein kinase (LRR-RLK) genes in paper mulberry and their potential roles in response to cold stress,COMPUTATIONAL BIOLOGY AND CHEMISTRY,3,2022
Genome-wide analysis of valine-glutamine motif-containing proteins related to abiotic stress response in cucumber (Cucumis sativus L.),BMC PLANT BIOLOGY,9,2021
Genetic Structure ofAmphioctopus ovulum(Mollusca: Cephalopoda: Octopodidae) as Revealed by Mitochondrial and Nuclear DNA,THALASSAS,1,2020
"The TIFY Gene Family in Wheat and its Progenitors: Genome-wide Identification, Evolution and Expression Analysis",CURRENT GENOMICS,18,2019
Lack of interruption of the gene network underlying wing polyphenism in an early-branching ant genus,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,5,2018
